epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9727490544319153,0.0010000000474974513,0.09546159207820892,0.9619238376617432,0.08816567808389664
0,0.9699870944023132,0.0010000000474974513,0.10022087395191193,0.9719439148902893,0.06621765345335007
1,0.9915301203727722,0.0010000000474974513,0.025857260450720787,0.9579158425331116,0.12814924120903015
2,0.9907935857772827,0.0010000000474974513,0.03508225828409195,0.9639278650283813,0.08958067744970322
3,0.9952126741409302,0.0010000000474974513,0.014340747147798538,0.9719439148902893,0.10030453652143478
4,0.9965015649795532,0.0005000000237487257,0.009286178275942802,0.9719439148902893,0.06841085851192474
5,0.9955809116363525,0.0005000000237487257,0.012667007744312286,0.9659318923950195,0.10912872850894928
6,0.9953967928886414,0.0005000000237487257,0.011959223076701164,0.9619238376617432,0.13947241008281708
7,0.9965015649795532,0.0002500000118743628,0.009166842326521873,0.9699398875236511,0.06581342965364456
8,0.9983428716659546,0.0002500000118743628,0.006253472529351711,0.9699398875236511,0.071799136698246
9,0.9970539212226868,0.0002500000118743628,0.010054401122033596,0.9739478826522827,0.07246961444616318
10,0.998711109161377,0.0002500000118743628,0.0034900298342108727,0.9799599051475525,0.06053254380822182
11,0.9974222183227539,0.0002500000118743628,0.006648858543485403,0.9779559373855591,0.044294752180576324
12,0.9974222183227539,0.0002500000118743628,0.008577420376241207,0.9819639325141907,0.05064958706498146
13,0.9977904558181763,0.0002500000118743628,0.0055605461820960045,0.9779559373855591,0.06287611275911331
14,0.998711109161377,0.0002500000118743628,0.0042084562592208385,0.9779559373855591,0.05254986137151718
15,0.9976063370704651,0.0001250000059371814,0.00550610339269042,0.9799599051475525,0.05349340662360191
16,0.998711109161377,0.0001250000059371814,0.002829325385391712,0.9799599051475525,0.050809696316719055
17,0.9981586933135986,0.0001250000059371814,0.004216472618281841,0.9799599051475525,0.05962849408388138
18,0.9992634654045105,6.25000029685907e-05,0.0030583026818931103,0.9779559373855591,0.05896496772766113
19,0.9883999228477478,9.999999747378752e-05,0.03694223612546921,0.8356713652610779,1.8431367874145508
20,0.9930031299591064,9.999999747378752e-05,0.02465602569282055,0.7855711579322815,2.3158395290374756
21,0.993739664554596,9.999999747378752e-05,0.025734027847647667,0.9198396801948547,0.7141387462615967
22,0.9970539212226868,4.999999873689376e-05,0.007974138483405113,0.9478957653045654,0.4634247124195099
23,0.9976063370704651,4.999999873689376e-05,0.005927824415266514,0.8577154278755188,0.9540331959724426
24,0.9983428716659546,4.999999873689376e-05,0.0069676348939538,0.9659318923950195,0.21555425226688385
25,0.9983428716659546,2.499999936844688e-05,0.0030876139644533396,0.9759519100189209,0.12983036041259766
